   nodename,  config, used,                           runtype, type, dbmode, sequential
   ECL01, default, true,    ROPC501/ropc/1/ECL:default,0,1,       true
   ECL01, default, true,      CPR5001/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5002/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5003/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5004/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5005/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5006/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5007/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5008/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5009/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5010/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5011/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5012/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, default, true,      CPR5013/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,    ROPC502/ropc/1/ECL:default,0,1,       true
   ECL02, default, true,      CPR5014/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR5015/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR5016/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR5017/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR5018/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6001/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6002/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6003/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6004/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6005/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6006/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6007/copper/1/ECL:V01:rck022,0,1,      false
   ECL02, default, true,      CPR6008/copper/1/ECL:V01:rck022,0,1,      false
   ECL01, debug:dummycpu, true,    ROPC501/ropc/1/ECL:default,0,1,       true
   ECL01, debug:dummycpu, true,      CPR5001/copper/1/debug:dummycpu,0,1,      false
